"PDF.Link","Record.Num","Originator","Pages","Current.Classification","Document.Date","Document.Type","To","From","Date.of.Review","Title","Comments"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10234-10148.pdf"" target=""_blank"">View PDF</a>","104-10234-10148","CIA",1,"Not Marked",1966-03-16,"PAPER - TEXTUAL DOCUMENT","DIRECTOR","WITHHELD","4/26/2018","CABLE RE: REPORTED THAT WHILE HE IN CUBA MANUEL PINIERO LOZADA PHONED","JFK64-51 : F9 : 20040317-1059662 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10235-10018.pdf"" target=""_blank"">View PDF</a>","104-10235-10018","CIA",2,"Secret",1962-06-08,"PAPER - TEXTUAL DOCUMENT","WAVE INFO MULTIPLE ADDEES","PACY","4/26/2018","CABLE:AMTEASE-1 ARRANGING FOLL FOR AMBUD-1 VISIT PACY:","JFK64-69 : F9 : 1998.06.02.19:03:44:060115 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10236-10053.pdf"" target=""_blank"">View PDF</a>","104-10236-10053","CIA",2,"Secret",1962-10-11,"PAPER - TEXTUAL DOCUMENT","DIRECTOR","KNGS","4/26/2018","CABLE- COS BELIEVES HIS REF B APPRAISAL JAMAICAN POLITICAL CLIMATE.","JFK64-70 : F10/5 : 1998.06.03.12:45:33:200108 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10236-10054.pdf"" target=""_blank"">View PDF</a>","104-10236-10054","CIA",2,"Secret",1962-10-03,"PAPER - TEXTUAL DOCUMENT","DIRECTOR, WAVE","KNGS","4/26/2018","CABLE- COS DOES NOT QUESTION POSSIBILITY COVERAGE CUBAN PROBLEM FROM JAMICA MIGHT BE EXTENDED.","JFK64-70 : F10/5 : 1998.06.03.12:47:13:840108 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10247-10037.pdf"" target=""_blank"">View PDF</a>","104-10247-10037","CIA",1,"Not Marked",1965-03-15,"PAPER - TEXTUAL DOCUMENT","WITHHELD","DIRECTOR","4/26/2018","CABLE RE: FYI ACCORDING TO LETTER JUST RECEIVED IN NEW YORK","JFK64-19 : F5 : 20040318-1060359 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10247-10042.pdf"" target=""_blank"">View PDF</a>","104-10247-10042","CIA",3,"Not Marked",1969-05-24,"PAPER - TEXTUAL DOCUMENT","WITHHELD","DIRECTOR","4/26/2018","CABLE: AT HQS REQUEST WODISH CONTACTED 'BROTHER-IN-LAW'","JFK64-19 : F2 : 20040318-1060362 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10247-10064.pdf"" target=""_blank"">View PDF</a>","104-10247-10064","CIA",3,"Not Marked",1966-03-11,"PAPER - TEXTUAL DOCUMENT","DIRECTOR","WITHHELD","4/26/2018","CABLE: DELORRY (D) ARRIVED ITALY 9 MARCH, ROME 10 MARCH. RETURNING FROM HOME","JFK64-19 : F2 : 20040318-1060383 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10267-10196.pdf"" target=""_blank"">View PDF</a>","104-10267-10196","CIA",2,"Secret",1966-07-07,"PAPER - TEXTUAL DOCUMENT","","","4/26/2018","CABLE RE TRAINING.","JFK64-13 : F29 : 1998.09.20.14:50:10:403031 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10269-10079.pdf"" target=""_blank"">View PDF</a>","104-10269-10079","CIA",1,"Secret",1961-05-18,"PAPER - TEXTUAL DOCUMENT","BELL, WAVE INFO SAOP","RIO DE JANEIRO","4/26/2018","CABLE: ACCORDING LOCAL PRESS CUBAN VICE MINISTER FOREIGN AFFAIRS","JFK64-26 : F11 : 1998.09.01.07:46:53:733128 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10290-10038.pdf"" target=""_blank"">View PDF</a>","104-10290-10038","CIA",2,"Secret",1963-12-02,"PAPER - TEXTUAL DOCUMENT","MEXICO CITY","DIR","4/26/2018","CABLE: LIST OF IDENS FOR REF (DIR 86283)","JFK64-47 : F3A : 1999.03.16.07:21:53:450129 : ALL IDENS ARE DELETED"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10290-10046.pdf"" target=""_blank"">View PDF</a>","104-10290-10046","CIA",2,"Secret",1963-12-03,"PAPER - TEXTUAL DOCUMENT","","DIR","4/26/2018","CABLE: LETTER NOTING PAYMENT OVERDUE FOR PURCHASES","JFK64-47 : F3A : 1999.03.16.10:21:04:560129 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10290-10055.pdf"" target=""_blank"">View PDF</a>","104-10290-10055","CIA",1,"Secret",1963-12-04,"PAPER - TEXTUAL DOCUMENT","MEXI","DIR","4/26/2018","CABLE: IDEN IN CORAL CABLES, FLORIDA","JFK64-47 : F3A : 1999.03.16.12:45:40:513129 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10290-10062.pdf"" target=""_blank"">View PDF</a>","104-10290-10062","CIA",1,"Secret",1963-12-04,"PAPER - TEXTUAL DOCUMENT","MEXI","DIR","4/26/2018","IDEN CABLE","JFK64-47 : F3A : 1999.03.16.13:11:03:340129 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10290-10155.pdf"" target=""_blank"">View PDF</a>","104-10290-10155","CIA",3,"Secret",1963-12-01,"PAPER - TEXTUAL DOCUMENT","BOOK CABLE","DIR","4/26/2018","BOOKCABLE: 20 DECEMBER IS 46TH ANNIVERSARY OF FOUNDING OF SOVIET STATE SECURITY ORGANIZATION","JFK64-47 : F3B : 1999.03.22.12:11:03:530129 : DUP OF 104-10101-10215"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10290-10162.pdf"" target=""_blank"">View PDF</a>","104-10290-10162","CIA",2,"Secret",0-01-01,"PAPER - TEXTUAL DOCUMENT","","DIR","4/26/2018","CABLE: 1. 40 H.P. OUTBOARD MOTOR MODEL R.D.S. SERIAL NUMBER","JFK64-47 : F3B : 1999.03.22.12:41:13:466129 : DUP OF 104-10101-10221"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10290-10168.pdf"" target=""_blank"">View PDF</a>","104-10290-10168","CIA",1,"Secret",1963-12-17,"PAPER - TEXTUAL DOCUMENT","PRIORITY BOOK CABLE","DIR","4/26/2018","CABLE: ACTION INTENDED PARA 2 REF WAS UNATTRIBUTABLE SURFACING BY MEDIA","JFK64-47 : F3B : 1999.03.24.10:24:00:483129 :"
