"PDF.Link","Record.Num","Originator","Pages","Current.Classification","Document.Date","Document.Type","To","From","Date.of.Review","Title","Comments"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10122-10147.pdf"" target=""_blank"">View PDF</a>","104-10122-10147","CIA",4,"Secret",1964-11-24,"PAPER - TEXTUAL DOCUMENT","CHIEF, ALIEN AFFAIRS STAFF","KNOTT, W.M.","4/26/2018","MEMO TO CHIEF, ALIEN AFFAIRS STAFF.","JFK44 : F24 : 1994.03.23.11:11:19:430005 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10122-10279.pdf"" target=""_blank"">View PDF</a>","104-10122-10279","CIA",2,"Secret",1973-10-04,"PAPER - TEXTUAL DOCUMENT","CIA","CIA","4/26/2018","ROBERT A. MAHEU [BIOGRAPHY OF MAHEU].","JFK44 : F2 : 1994.03.25.10:32:27:370007 : 2 PAGE MEMO.  SHOULD HAVE 3 ATTACHMENTS, NOT WITH DOCUMENT."
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10122-10288.pdf"" target=""_blank"">View PDF</a>","104-10122-10288","CIA",6,"Secret",1971-05-20,"PAPER - TEXTUAL DOCUMENT","MEMO FOR THE RECORD","WITHHELD","4/26/2018","ROBERT D. PELOQUIN, PRESIDENT INTERNATIONAL INTELLIGENCE, INC. (INTERTEL).","JFK44 : F25 : 1994.03.25.10:45:15:160005 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10122-10291.pdf"" target=""_blank"">View PDF</a>","104-10122-10291","CIA",2,"Secret",1968-01-09,"PAPER - TEXTUAL DOCUMENT","DCI","KANE, CHARLES, DD/OS","4/26/2018","TYLER, LYON L.","JFK44 : F25 : 1994.03.25.10:52:11:690005 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10122-10307.pdf"" target=""_blank"">View PDF</a>","104-10122-10307","CIA",2,"Secret",1967-05-04,"PAPER - TEXTUAL DOCUMENT","D/OS","KANE, CHARLES","4/26/2018","HEARSAY CONCERNING MORGAN, EDWARD.","JFK44 : F25 : 1994.03.25.13:18:11:560005 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10122-10344.pdf"" target=""_blank"">View PDF</a>","104-10122-10344","CIA",5,"Secret",1966-06-07,"PAPER - TEXTUAL DOCUMENT","CIA","CIA","4/26/2018","MAHEU, ROBERT A. [LONG COMMITTEE INTERESTED IN MAHEU BECAUSE INVESTIGATING WIRETAPPING ACTIVITIES].","JFK44 : F2 : 1994.03.28.09:10:43:220007 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10122-10346.pdf"" target=""_blank"">View PDF</a>","104-10122-10346","CIA",9,"Secret",1966-06-20,"PAPER - TEXTUAL DOCUMENT","DDS, CIA","DIR/OS, CIA","4/26/2018","PROJECT HARPSTAR AND PROJECT NORFOLK.","JFK44 : F2 : 1994.03.28.09:35:39:620007 : DOCUMENT PREVIOUSLY SANITIZED."
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10122-10405.pdf"" target=""_blank"">View PDF</a>","104-10122-10405","CIA",2,"Not Marked",1968-07-24,"PAPER - TEXTUAL DOCUMENT","DIRECTOR, CIA","JMCOBRA","4/26/2018","WITHHELD","JFK44 : F7 : 20040225-1049042 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10122-10411.pdf"" target=""_blank"">View PDF</a>","104-10122-10411","CIA",4,"Secret",1976-06-23,"PAPER - TEXTUAL DOCUMENT","CH/SAG/OS, CIA","SCHNEEBERGER, MICHAEL, SAG/OS, CIA","4/26/2018","MANUEL L. DE ARMAS [CLAIMED TO BE EX-CIA AGENT].","JFK44 : F7 : 1994.03.28.15:47:27:190007 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10123-10017.pdf"" target=""_blank"">View PDF</a>","104-10123-10017","CIA",1,"Secret",1969-03-17,"PAPER - TEXTUAL DOCUMENT","DIRECTOR","WITHHELD","4/26/2018","CABLE RE NAGELL'S APPEARANCE AT ZURICH CONSULATE WITH THREATS OF EXPOSING U.S. GOVERNMENT ON RADIO, TV AND IN THE PRESS.","JFK44 : F31 : 1994.03.29.11:23:36:780005 :"
